;'Proc. Orig';'Placa';'Chassi';'Marca/Modelo';'Classificação';'Ano';'Despesas (GAD)';'Recolhimento com multa (elimina isenção)';'Origem';'Ano de Entrada';'Data Entrada';'Data Saída';'Tempo em depósito (dias)';'Diárias limitadas a 183 dias';' Valor da taxa da diária ';' Valor total diárias ';' Valor da Taxa de remoção ';' Valor total da GAD ';' Valor CRD (somente Diárias) ';' Valor Devido da GAD (Detran) ';'Tempo Depósito (anos)';'Valor FIPE';'Peso (Kg)';'Valor Kg X 40% (devido ao DETRAN)';' Valor Casco p/ Veículo ';'Classificação';'Valor total da GAD +  Valor Casco p/Veículo';' Valor Total Devido pelo CRD  '
36;2012138140;'IRF9468';'9C2KD0510AR038557';'HONDA/NXR150BROS MIX ESD';'Motocicletas';2010;'0-Sem isenção';;'1-Base Estadual';;8/9/2012;4/9/2019;2552;183;' 23,23 ';' 4.251,09 ';' 226,60 ';' 4.477,69 ';' 2.810,88 ';' 1.666,81 ';6;6.845,00;80;;' 6.845,00 ';'FIPE';' 11.322,69 ';' 8.511,81 '
37;2013051087;;'CRD00133RSP18042013';'CRYPTON';'Motocicletas';;'5-A disposição da Polícia';;'5-Irregular - Incluído';;18/4/2013;4/9/2019;2330;0;' 23,23 ';' -   ';' -   ';' -   ';' -   ';' -   ';'IRREG';;80;0,124;' 9,92 ';'MI';' 9,92 ';' 9,92 '
38;2013051614;'MCM5620';'XL250BR2017285';'HONDA/XLX 250 R';'Motocicletas';;'5-A disposição da Polícia';;'5-Irregular - Incluído';;19/4/2013;4/9/2019;2329;0;' 23,23 ';' -   ';' -   ';' -   ';' -   ';' -   ';'IRREG';;80;0,124;' 9,92 ';'MI';' 9,92 ';' 9,92 '
39;2013060228;'IIW8085';'9BWZZZ377XP061382';'VW/GOL SPECIAL';'veículos em geral';1999;'0-Sem isenção';;'1-Base Estadual';;3/5/2013;4/9/2019;2315;183;' 29,04 ';' 5.314,32 ';' 283,26 ';' 5.597,58 ';' 3.515,43 ';' 2.082,15 ';6;9.719,00;800;;' 9.719,00 ';'FIPE';' 15.316,58 ';' 11.801,15 '
40;2013066687;;'CRD00133RSP070513';'HONDA/ TITAN 125';'Motocicletas';;'5-A disposição da Polícia';;'5-Irregular - Incluído';;7/5/2013;4/9/2019;2311;0;' 23,23 ';' -   ';' -   ';' -   ';' -   ';' -   ';'IRREG';;80;0,124;' 9,92 ';'MI';' 9,92 ';' 9,92 '
41;2013071630;'IKY1962';'9C6KE044030001081';'YAMAHA/YBR 125K';'Motocicletas';2002;'0-Sem isenção';;'1-Base Estadual';;22/5/2013;4/9/2019;2296;183;' 23,23 ';' 4.251,09 ';' 226,60 ';' 4.477,69 ';' 2.810,88 ';' 1.666,81 ';6;1.883,00;80;;' 1.883,00 ';'FIPE';' 6.360,69 ';' 3.549,81 '
42;2013074344;;'CRD00133RSP030113';'HONDA';'Motocicletas';;'5-A disposição da Polícia';;'5-Irregular - Incluído';;27/5/2013;4/9/2019;2291;0;' 23,23 ';' -   ';' -   ';' -   ';' -   ';' -   ';'IRREG';;80;0,124;' 9,92 ';'MI';' 9,92 ';' 9,92 '
43;2013087104;'IKN6478';'9C2JC30102R168911';'HONDA/CG 125 TITAN KS';'Motocicletas';2002;'0-Sem isenção';;'1-Base Estadual';;14/6/2013;4/9/2019;2273;183;' 23,23 ';' 4.251,09 ';' 226,60 ';' 4.477,69 ';' 2.810,88 ';' 1.666,81 ';6;2.838,00;80;;' 2.838,00 ';'FIPE';' 7.315,69 ';' 4.504,81 '
44;2013167507;'IBS4925';'9BG5TE11UFC125741';'GM/CHEVETTE SL';'veículos em geral';1985;'0-Sem isenção';;'1-Base Estadual';;2/11/2013;4/9/2019;2132;183;' 29,04 ';' 5.314,32 ';' 283,26 ';' 5.597,58 ';' 3.515,43 ';' 2.082,15 ';5;4.271,00;800;;' 4.271,00 ';'FIPE';' 9.868,58 ';' 6.353,15 '
45;2013189508;'IMF4224';'9C2MC35005R011087';'HONDA/CBX 250 TWISTER';'Motocicletas';;'5-A disposição da Polícia';;'1-Base Estadual';;19/12/2013;4/9/2019;2085;0;' 23,23 ';' -   ';' -   ';' -   ';' -   ';' -   ';5;;80;0,124;' 9,92 ';'MI';' 9,92 ';' 9,92 '
